product_brand,certification
Volkswagen,CZK
Mercedes-Benz,EUR
Dodge,GBP
Honda,JPY
Chevrolet,EUR
Ford,MKD
Oldsmobile,EUR
Chevrolet,IDR
Pontiac,EUR
Pontiac,PHP
Daewoo,USD
Jaguar,MKD
Chevrolet,SEK
Nissan,UYU
Lotus,JPY
Oldsmobile,USD
Isuzu,CNY
Volvo,CNY
Mazda,IDR
Ford,CNY
Chevrolet,ARS
Ford,CNY
Plymouth,CNY
Pontiac,KES
Jaguar,PHP
Acura,EUR
Mazda,RUB
Lamborghini,CNY
Acura,PHP
Toyota,GEL
Acura,CDF
Mazda,RUB
Ford,CNY
Pontiac,NGN
Ford,IDR
Dodge,IDR
GMC,TND
Lamborghini,PLN
Volvo,CNY
Mazda,SEK
Chevrolet,PKR
Oldsmobile,GTQ
Chevrolet,CNY
Hyundai,IDR
Toyota,PLN
Mazda,CNY
Bentley,IDR
GMC,CNY
GMC,CNY
Nissan,EUR
Plymouth,BRL
Ford,CNY
Dodge,EUR
Pontiac,HUF
Hyundai,EUR
Buick,COP
Infiniti,RUB
Mitsubishi,RUB
Lamborghini,VND
Mazda,CZK
Mercedes-Benz,EUR
GMC,EUR
Maybach,PLN
Toyota,BRL
BMW,CLP
Ford,CNY
Mercedes-Benz,CNY
Chrysler,CNY
Mercedes-Benz,BAM
Subaru,IDR
Scion,MXN
Buick,RSD
Acura,USD
Acura,MXN
Mitsubishi,RUB
Honda,EUR
Aston Martin,BRL
Porsche,EUR
Ford,IRR
Ford,EUR
Nissan,MGA
Chevrolet,IDR
Audi,BRL
Cadillac,RUB
Ford,IDR
Isuzu,USD
Oldsmobile,GYD
Jeep,MNT
Saturn,IDR
Chevrolet,EUR
Ford,USD
Honda,EUR
Honda,BRL
Ford,OMR
Pontiac,EUR
Mercedes-Benz,VEF
Volvo,EUR
Dodge,VUV
GMC,RUB
Chevrolet,RUB
Land Rover,RUB
Mercedes-Benz,PHP
Chrysler,SEK
Pontiac,CNY
Saab,CZK
Chevrolet,IDR
Hyundai,PHP
Dodge,PLN
Chrysler,EUR
Hyundai,CUP
Volkswagen,CNY
Mazda,CNY
Chevrolet,PHP
GMC,CNY
Pontiac,UAH
Dodge,ZAR
Nissan,NAD
Honda,CNY
Mazda,TZS
Honda,PHP
Pontiac,USD
Nissan,COP
Subaru,IDR
Chevrolet,CZK
Mitsubishi,PHP
Chevrolet,CNY
Honda,BRL
Nissan,IDR
GMC,ISK
Ford,PAB
Mercedes-Benz,IDR
Land Rover,CNY
Lincoln,PHP
Ford,PKR
Jaguar,CNY
Mitsubishi,CZK
Lexus,ZAR
Mazda,SEK
Land Rover,PLN
Ford,JPY
Mercedes-Benz,BRL
Suzuki,IDR
Dodge,EUR
GMC,HRK
Nissan,PHP
Acura,CNY
Ford,CNY
Chevrolet,TZS
Mercury,EUR
GMC,RUB
Ford,CNY
Buick,MYR
Ford,CNY
Lotus,EUR
Lexus,IDR
Ford,XOF
Ford,CNY
GMC,PHP
Suzuki,IDR
Lotus,IDR
Ford,CNY
Chevrolet,VND
Rolls-Royce,YER
Scion,IDR
Dodge,PHP
Lincoln,RUB
Honda,PHP
Kia,IDR
Audi,RUB
Mazda,EUR
Maybach,MXN
Toyota,CAD
Acura,PHP
Ferrari,IDR
Volvo,EUR
Mazda,CNY
Dodge,JPY
Pontiac,RUB
Toyota,CZK
Ford,CNY
Land Rover,RUB
Chevrolet,CNY
Toyota,IDR
Mitsubishi,HRK
Dodge,EUR
Saab,ARS
Ford,CNY
Cadillac,IDR
Cadillac,ARS
Land Rover,COP
Chevrolet,EUR
Pontiac,CNY
Saturn,USD
Volkswagen,EUR
Volkswagen,IDR
Mazda,CNY
BMW,IDR
Honda,BYR
Ford,EUR
Mazda,CNY
Geo,IDR
Mazda,MKD
Kia,USD
Ford,PEN
Saturn,RUB
Buick,CNY
Buick,RUB
