product_id,airflow,power,operating_voltage,fan_speed
1,4962,57,110,11
2,2388,6,110,12
3,2509,26,120,22
4,6937,67,110,19
5,8310,91,120,32
6,7819,10,120,22
7,2523,54,110,46
8,4546,84,120,31
9,5236,61,110,27
10,9973,20,120,30
11,4888,39,110,23
12,5970,9,120,31
13,8357,24,110,17
14,6495,65,110,26
15,3358,75,110,22
16,3287,95,110,45
17,4552,85,110,31
18,4096,49,110,27
19,8885,30,120,49
20,7366,55,110,31
21,3699,13,110,45
22,7819,19,120,27
23,4536,12,120,29
24,2990,6,110,47
25,5720,61,120,33
26,7968,17,120,15
27,3432,43,110,38
28,9910,57,120,39
29,5375,25,120,32
30,5276,98,120,33
31,6714,56,110,34
32,5833,6,110,38
33,4215,97,110,43
34,3238,41,110,19
35,4348,66,120,43
36,8549,76,120,13
37,7584,25,120,49
38,5506,82,110,24
39,3208,40,120,40
40,7141,7,120,39
41,2373,74,110,42
42,6976,33,110,48
43,5830,66,110,18
44,3883,55,110,28
45,7000,99,110,17
46,8681,25,110,35
47,6600,75,120,26
48,8251,43,120,25
49,7786,74,110,44
50,4652,26,110,19
51,8708,58,120,35
52,9053,96,110,38
53,4950,20,120,20
54,8959,86,110,11
55,3447,42,120,14
56,7986,49,120,12
57,3791,56,120,45
58,3879,50,110,33
59,8899,56,110,42
60,8653,90,110,49
61,3705,12,120,35
62,2042,10,120,22
63,2579,90,120,37
64,4791,58,120,19
65,3283,76,120,43
66,9890,95,110,14
67,6401,98,120,21
68,6273,23,110,49
69,3520,88,110,22
70,4536,37,110,15
71,3997,67,120,15
72,9372,51,120,45
73,6143,65,120,39
74,6647,59,120,38
75,8854,46,120,22
76,2528,54,120,32
77,5609,70,110,13
78,5896,10,120,47
79,6909,28,120,24
80,4571,72,110,25
81,8808,5,120,40
82,6703,48,110,45
83,8497,81,120,11
84,6980,80,120,34
85,7696,73,110,19
86,2078,92,110,47
87,4376,81,110,19
88,6464,92,110,13
89,8877,52,120,11
90,6447,40,110,24
91,2681,44,110,41
92,2798,98,110,12
93,9830,41,110,25
94,6291,65,110,20
95,7267,56,120,43
96,3095,88,110,23
97,5351,95,120,20
98,6047,78,110,29
99,8619,94,120,29
100,8694,50,120,14
101,2808,15,120,24
102,2654,58,110,35
103,7841,58,120,43
104,8653,46,120,21
105,8065,54,120,47
106,4986,82,110,26
107,7046,89,120,42
108,4923,16,110,38
109,8328,55,120,48
110,8515,45,110,18
111,6288,76,110,50
112,4399,61,120,12
113,5248,21,120,11
114,8247,77,110,33
115,4134,45,110,16
116,7528,48,120,16
117,5742,86,110,47
118,6484,67,120,19
119,2288,93,110,45
120,3748,85,120,40
121,8026,88,120,50
122,5893,34,110,41
123,6346,27,110,39
124,9481,98,110,23
125,3150,38,110,37
126,8258,87,110,29
127,6456,30,110,24
128,8030,86,110,46
129,9970,29,110,20
130,5813,88,120,32
131,4134,74,120,38
132,4201,83,120,15
133,2931,47,110,47
134,9900,42,120,21
135,2585,18,110,19
136,5167,38,120,32
137,2497,9,110,38
138,7445,7,120,22
139,5598,91,120,34
140,2398,13,120,46
141,9537,26,110,29
142,5292,24,120,21
143,3211,76,120,33
144,4574,61,110,43
145,8024,54,110,19
146,8728,56,110,23
147,8501,95,110,43
148,4636,55,110,25
149,2603,66,110,50
150,9827,28,110,11
151,6294,84,120,12
152,4243,60,120,13
153,3894,71,110,26
154,4278,99,120,34
155,6310,64,110,40
156,5251,77,110,20
157,3396,70,110,47
158,9465,41,120,22
159,4143,37,110,33
160,5225,55,120,50
161,5690,36,120,46
162,8945,31,110,39
163,7241,96,110,27
164,3605,7,110,42
165,3521,100,120,48
166,4019,73,110,36
167,8445,77,120,33
168,7042,53,110,21
169,3903,36,110,29
170,3522,45,110,29
171,4856,43,110,32
172,4709,50,110,13
173,2126,89,110,21
174,5717,19,120,18
175,5843,52,110,21
176,9538,47,110,42
177,3143,13,120,32
178,3407,30,120,17
179,7221,5,120,11
180,3671,100,110,11
181,9444,76,110,26
182,4293,25,110,36
183,9073,13,110,13
184,5530,61,110,39
185,7058,89,110,46
186,5334,66,120,41
187,5952,74,120,19
188,2331,13,120,35
189,5593,73,120,38
190,9179,36,110,43
191,3615,82,110,12
192,6027,54,110,40
193,7316,47,110,45
194,7708,92,110,40
195,7543,75,120,24
196,5249,42,110,41
197,4373,48,120,24
198,8666,10,110,41
199,8714,5,120,29
200,3801,97,120,48
201,2002,49,110,49
202,3800,77,120,18
203,3422,56,110,31
204,9047,69,120,35
205,3738,74,120,10
206,7464,73,110,43
207,8745,65,120,29
208,3431,26,120,43
209,6218,85,110,10
210,5970,41,120,19
211,2512,57,120,47
212,3307,73,120,17
213,4688,14,120,10
214,3981,11,110,37
215,4059,20,110,28
216,2929,82,120,30
217,8158,39,120,39
218,9866,55,110,36
219,2304,17,110,28
220,2006,48,120,25
221,8039,18,120,31
222,5028,97,120,40
223,3253,41,120,31
224,8009,30,120,45
225,5701,64,110,45
226,3512,28,120,29
227,9060,50,110,50
228,8601,93,110,26
229,9791,44,110,16
230,9465,78,120,45
231,3261,38,120,25
232,6860,37,120,18
233,9177,26,110,36
234,5606,43,110,15
235,4752,38,120,28
236,5906,54,110,33
237,2106,62,120,30
238,6276,7,120,48
239,4626,52,120,24
240,6280,12,110,15
241,5356,27,120,38
242,8765,40,120,45
243,8601,44,120,29
244,9233,66,110,47
245,2362,88,110,29
246,2779,61,110,40
247,8689,10,110,22
248,5426,79,110,37
249,5549,64,120,35
250,6193,100,110,29
